metric,value
total_sample_count,17780
valid_sample_count,17731
excluded_sample_count,49
invalid_overall_sample_count,44
invalid_trait_profile_sample_count,41
missing_required_score_sample_count,0
total_unique_source_essay_count,8890
valid_unique_source_essay_count,8876
total_unique_filename_count,8880
valid_unique_filename_count,8866
unique_rater_count,27
rater_ids,rater_1|rater_2|rater_3|rater_4|rater_5|rater_6|rater_7|rater_8|rater_9|rater_10|rater_11|rater_12|rater_13|rater_14|rater_15|rater_16|rater_17|rater_18|rater_19|rater_20|rater_21|rater_22|rater_23|rater_24|rater_25|rater_26|rater_27
valid_samples_per_rater_min,27
valid_samples_per_rater_median,607.0
valid_samples_per_rater_mean,656.7037037037037
valid_samples_per_rater_max,1602
