predictor,count,pearson_correlation,spearman_correlation
Cohesion,17731,0.7051789075799415,0.691597056960896
Syntax,17731,0.7291308874139872,0.7156459056440637
Vocabulary,17731,0.6850952481154743,0.6674167853513224
Phraseology,17731,0.7165168315582346,0.7026373843125647
Grammar,17731,0.6845785478428539,0.6692700508005776
Conventions,17731,0.6618629346737607,0.6500614481515103
trait_mean,17731,0.8738449564201868,0.8654072764059736
trait_min,17731,0.7325098734456441,0.7137354528360731
trait_max,17731,0.7323152830901591,0.7182075817447122
trait_std,17731,0.02445350450629237,0.031239947134545483
