score_variable,score,count,proportion
Overall,1,125,0.007049799785686086
Overall,2,3196,0.18024928092042186
Overall,3,9235,0.5208392081664881
Overall,4,4640,0.26168856804466756
Overall,5,535,0.03017314308273645
Cohesion,1,214,0.01206925723309458
Cohesion,2,3492,0.1969432068129265
Cohesion,3,8373,0.4722237888443968
Cohesion,4,4992,0.28154080424115957
Cohesion,5,660,0.03722294286842254
Syntax,1,209,0.011787265241667136
Syntax,2,3898,0.2198409565168349
Syntax,3,8937,0.5040324854774124
Syntax,4,4185,0.23602729682477017
Syntax,5,502,0.028311995939315323
Vocabulary,1,50,0.0028199199142744345
Vocabulary,2,2104,0.1186622299926682
Vocabulary,3,9680,0.5459364954035305
Vocabulary,4,5222,0.29451243584682196
Vocabulary,5,675,0.038068918842704864
Phraseology,1,136,0.007670182166826462
Phraseology,2,3636,0.20506457616603688
Phraseology,3,8365,0.4717726016581129
Phraseology,4,5000,0.28199199142744347
Phraseology,5,594,0.033500648581580285
Grammar,1,162,0.009136540522249168
Grammar,2,4464,0.2517624499464215
Grammar,3,7809,0.4404150922113812
Grammar,4,4527,0.2553155490384073
Grammar,5,769,0.043370368281540804
Conventions,1,150,0.008459759742823304
Conventions,2,3779,0.21312954712086177
Conventions,3,8243,0.4648919970672833
Conventions,4,4873,0.27482939484518637
Conventions,5,686,0.03868930122384524
