rater_id,total_sample_count,total_unique_essay_count,valid_sample_count,valid_unique_essay_count,excluded_sample_count
rater_1,860,860,857,857,3
rater_2,1609,1609,1602,1602,7
rater_3,331,331,325,325,6
rater_4,609,609,607,607,2
rater_5,226,226,225,225,1
rater_6,1340,1340,1336,1336,4
rater_7,1213,1213,1211,1211,2
rater_8,360,360,359,359,1
rater_9,748,748,745,745,3
rater_10,782,782,781,781,1
rater_11,1370,1370,1367,1367,3
rater_12,1222,1222,1220,1220,2
rater_13,890,890,889,889,1
rater_14,31,31,31,31,0
rater_15,991,991,988,988,3
rater_16,447,447,447,447,0
rater_17,119,119,119,119,0
rater_18,1062,1062,1060,1060,2
rater_19,1043,1043,1041,1041,2
rater_20,75,75,75,75,0
rater_21,359,359,358,358,1
rater_22,241,241,241,241,0
rater_23,778,778,774,774,4
rater_24,260,260,260,260,0
rater_25,27,27,27,27,0
rater_26,200,200,199,199,1
rater_27,587,587,587,587,0
