rater_id,score_variable,score,count,proportion
rater_1,Cohesion,1,28,0.03267211201866978
rater_1,Cohesion,2,305,0.3558926487747958
rater_1,Cohesion,3,323,0.37689614935822635
rater_1,Cohesion,4,169,0.1971995332555426
rater_1,Cohesion,5,32,0.03733955659276546
rater_1,Conventions,1,9,0.010501750291715286
rater_1,Conventions,2,200,0.23337222870478413
rater_1,Conventions,3,459,0.5355892648774796
rater_1,Conventions,4,179,0.2088681446907818
rater_1,Conventions,5,10,0.011668611435239206
rater_1,Grammar,1,4,0.004667444574095682
rater_1,Grammar,2,178,0.20770128354725786
rater_1,Grammar,3,399,0.46557759626604434
rater_1,Grammar,4,253,0.2952158693115519
rater_1,Grammar,5,23,0.026837806301050177
rater_1,Overall,1,4,0.004667444574095682
rater_1,Overall,2,170,0.1983663943990665
rater_1,Overall,3,500,0.5834305717619603
rater_1,Overall,4,173,0.20186697782963828
rater_1,Overall,5,10,0.011668611435239206
rater_1,Phraseology,1,3,0.003500583430571762
rater_1,Phraseology,2,172,0.20070011668611434
rater_1,Phraseology,3,427,0.4982497082847141
rater_1,Phraseology,4,233,0.2718786464410735
rater_1,Phraseology,5,22,0.025670945157526253
rater_1,Syntax,1,13,0.015169194865810968
rater_1,Syntax,2,245,0.28588098016336055
rater_1,Syntax,3,408,0.47607934655775963
rater_1,Syntax,4,172,0.20070011668611434
rater_1,Syntax,5,19,0.022170361726954493
rater_1,Vocabulary,1,3,0.003500583430571762
rater_1,Vocabulary,2,114,0.13302217036172695
rater_1,Vocabulary,3,507,0.5915985997666278
rater_1,Vocabulary,4,219,0.2555425904317386
rater_1,Vocabulary,5,14,0.01633605600933489
rater_10,Cohesion,1,0,0.0
rater_10,Cohesion,2,177,0.2266325224071703
rater_10,Cohesion,3,363,0.4647887323943662
rater_10,Cohesion,4,211,0.2701664532650448
rater_10,Cohesion,5,30,0.03841229193341869
rater_10,Conventions,1,0,0.0
rater_10,Conventions,2,213,0.2727272727272727
rater_10,Conventions,3,337,0.43149807938540335
rater_10,Conventions,4,181,0.23175416133162613
rater_10,Conventions,5,50,0.06402048655569782
rater_10,Grammar,1,2,0.002560819462227913
rater_10,Grammar,2,274,0.3508322663252241
rater_10,Grammar,3,265,0.3393085787451985
rater_10,Grammar,4,194,0.24839948783610755
rater_10,Grammar,5,46,0.058898847631242
rater_10,Overall,1,0,0.0
rater_10,Overall,2,223,0.2855313700384123
rater_10,Overall,3,357,0.45710627400768244
rater_10,Overall,4,177,0.2266325224071703
rater_10,Overall,5,24,0.030729833546734954
rater_10,Phraseology,1,0,0.0
rater_10,Phraseology,2,147,0.1882202304737516
rater_10,Phraseology,3,371,0.47503201024327785
rater_10,Phraseology,4,230,0.29449423815621
rater_10,Phraseology,5,33,0.04225352112676056
rater_10,Syntax,1,2,0.002560819462227913
rater_10,Syntax,2,268,0.34314980793854033
rater_10,Syntax,3,333,0.4263764404609475
rater_10,Syntax,4,157,0.20102432778489115
rater_10,Syntax,5,21,0.026888604353393086
rater_10,Vocabulary,1,0,0.0
rater_10,Vocabulary,2,154,0.19718309859154928
rater_10,Vocabulary,3,404,0.5172855313700384
rater_10,Vocabulary,4,192,0.24583866837387963
rater_10,Vocabulary,5,31,0.03969270166453265
rater_11,Cohesion,1,15,0.010972933430870519
rater_11,Cohesion,2,604,0.44184345281638626
rater_11,Cohesion,3,603,0.44111192392099485
rater_11,Cohesion,4,139,0.10168251645940014
rater_11,Cohesion,5,6,0.0043891733723482075
rater_11,Conventions,1,9,0.006583760058522311
rater_11,Conventions,2,480,0.3511338697878566
rater_11,Conventions,3,665,0.4864667154352597
rater_11,Conventions,4,198,0.14484272128749084
rater_11,Conventions,5,15,0.010972933430870519
rater_11,Grammar,1,21,0.015362106803218726
rater_11,Grammar,2,578,0.4228237015362107
rater_11,Grammar,3,675,0.49378200438917336
rater_11,Grammar,4,85,0.06217995610826628
rater_11,Grammar,5,8,0.005852231163130944
rater_11,Overall,1,15,0.010972933430870519
rater_11,Overall,2,368,0.2692026335040234
rater_11,Overall,3,711,0.5201170446232626
