rater_id,trait,count,mean,rater_six_trait_mean,relative_trait_tendency
rater_1,Cohesion,857,2.8506417736289382,3.025476468300272,-0.17483469467133395
rater_1,Syntax,857,2.928821470245041,3.025476468300272,-0.09665499805523137
rater_1,Vocabulary,857,3.1481913652275377,3.025476468300272,0.12271489692726556
rater_1,Phraseology,857,3.115519253208868,3.025476468300272,0.09004278490859585
rater_1,Grammar,857,3.131855309218203,3.025476468300272,0.1063788409179307
rater_1,Conventions,857,2.9778296382730454,3.025476468300272,-0.047646830027226805
rater_10,Cohesion,781,3.1203585147247117,3.073836961160905,0.046521553563806606
rater_10,Syntax,781,2.906530089628681,3.073836961160905,-0.16730687153222412
rater_10,Vocabulary,781,3.128040973111396,3.073836961160905,0.05420401195049074
rater_10,Phraseology,781,3.1907810499359797,3.073836961160905,0.11694408877507456
rater_10,Grammar,781,3.0102432778489114,3.073836961160905,-0.06359368331199367
rater_10,Conventions,781,3.087067861715749,3.073836961160905,0.013230900554844105
rater_11,Cohesion,1367,2.646671543525969,2.8218727139722017,-0.17520117044623262
rater_11,Syntax,1367,2.8997805413313826,2.8218727139722017,0.07790782735918089
rater_11,Vocabulary,1367,3.0190197512801755,2.8218727139722017,0.19714703730797378
rater_11,Phraseology,1367,2.9429407461594734,2.8218727139722017,0.12106803218727169
rater_11,Grammar,1367,2.62033650329188,2.8218727139722017,-0.20153621068032157
rater_11,Conventions,1367,2.8024871982443305,2.8218727139722017,-0.019385515727871283
rater_12,Cohesion,1220,3.2975409836065572,3.2290983606557373,0.06844262295081993
rater_12,Syntax,1220,3.0434426229508196,3.2290983606557373,-0.18565573770491772
rater_12,Vocabulary,1220,3.3549180327868853,3.2290983606557373,0.12581967213114797
rater_12,Phraseology,1220,3.4311475409836065,3.2290983606557373,0.20204918032786923
rater_12,Grammar,1220,2.971311475409836,3.2290983606557373,-0.2577868852459013
rater_12,Conventions,1220,3.2762295081967214,3.2290983606557373,0.04713114754098413
rater_13,Cohesion,889,3.28458942632171,3.2960254968128986,-0.011436070491188666
rater_13,Syntax,889,3.322834645669291,3.2960254968128986,0.02680914885639263
rater_13,Vocabulary,889,3.435320584926884,3.2960254968128986,0.1392950881139856
rater_13,Phraseology,889,3.3914510686164228,3.2960254968128986,0.09542557180352418
rater_13,Grammar,889,3.1304836895388077,3.2960254968128986,-0.16554180727409085
rater_13,Conventions,889,3.2114735658042743,3.2960254968128986,-0.08455193100862424
rater_14,Cohesion,31,2.935483870967742,2.8655913978494625,0.06989247311827951
rater_14,Syntax,31,2.838709677419355,2.8655913978494625,-0.026881720430107503
rater_14,Vocabulary,31,2.967741935483871,2.8655913978494625,0.10215053763440851
rater_14,Phraseology,31,3.032258064516129,2.8655913978494625,0.16666666666666652
rater_14,Grammar,31,2.6451612903225805,2.8655913978494625,-0.22043010752688197
rater_14,Conventions,31,2.774193548387097,2.8655913978494625,-0.09139784946236551
rater_15,Cohesion,988,3.5445344129554655,3.288124156545209,0.2564102564102564
rater_15,Syntax,988,3.374493927125506,3.288124156545209,0.08636977058029682
rater_15,Vocabulary,988,3.1842105263157894,3.288124156545209,-0.10391363022941968
rater_15,Phraseology,988,3.3906882591093117,3.288124156545209,0.10256410256410264
rater_15,Grammar,988,3.0121457489878543,3.288124156545209,-0.2759784075573548
rater_15,Conventions,988,3.222672064777328,3.288124156545209,-0.06545209176788092
rater_16,Cohesion,447,3.3914988814317675,3.210663683818046,0.18083519761372147
rater_16,Syntax,447,3.140939597315436,3.210663683818046,-0.06972408650260986
rater_16,Vocabulary,447,3.3221476510067114,3.210663683818046,0.11148396718866538
rater_16,Phraseology,447,3.1722595078299776,3.210663683818046,-0.038404175988068445
rater_16,Grammar,447,3.0156599552572705,3.210663683818046,-0.19500372856077552
rater_16,Conventions,447,3.221476510067114,3.210663683818046,0.010812826249067875
rater_17,Cohesion,119,3.1848739495798317,3.380952380952381,-0.1960784313725492
rater_17,Syntax,119,3.2184873949579833,3.380952380952381,-0.16246498599439763
