Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions,sample_count,unique_overall_count,overall_values,rater_count,essay_count
1,1,2,1,2,1,4,2,1|2,4,4
1,1,2,1,2,2,6,2,1|2,4,6
1,1,2,2,1,1,7,2,1|2,6,7
1,1,2,2,1,2,4,2,1|2,4,3
1,1,2,2,1,3,3,2,1|2,3,3
1,1,2,2,2,1,11,2,1|2,6,11
1,1,2,2,2,2,8,2,1|2,5,8
1,1,3,2,2,2,4,2,1|2,4,4
1,2,1,2,2,1,3,2,1|2,1,3
1,2,2,1,1,2,7,2,1|2,7,7
1,2,2,1,2,2,5,2,1|2,4,5
1,2,2,2,1,1,4,2,1|2,3,4
1,2,2,2,1,2,2,2,1|2,2,2
1,2,2,2,2,1,11,2,1|2,7,11
1,2,2,2,2,2,20,2,1|2,10,20
1,2,2,2,3,3,3,2,2|3,2,3
1,2,3,2,2,3,5,2,2|3,2,5
1,2,3,3,3,3,2,2,2|3,1,2
1,3,3,2,2,2,2,2,1|3,2,2
2,1,2,1,1,2,5,2,1|2,4,5
2,1,2,1,1,3,3,2,1|2,2,3
2,1,2,2,1,1,4,2,1|2,3,4
2,1,2,2,1,2,8,2,1|2,6,8
2,1,3,2,2,2,7,2,2|3,5,7
2,1,3,3,2,2,3,2,1|2,2,3
2,1,3,3,3,2,3,2,2|3,3,3
2,2,1,1,2,2,2,2,1|2,2,2
2,2,2,1,1,2,5,2,1|2,3,5
2,2,2,1,2,1,2,2,1|2,2,2
2,2,2,1,2,2,9,2,1|2,6,9
2,2,2,1,2,3,4,2,1|2,3,4
2,2,2,2,1,1,3,2,1|2,3,3
2,2,2,2,1,2,18,2,1|2,10,18
2,2,2,2,2,1,19,2,1|2,12,19
2,2,2,2,2,2,343,3,1|2|3,24,330
2,2,2,2,2,3,83,2,2|3,21,83
2,2,2,2,3,2,43,2,2|3,18,43
2,2,2,2,3,3,43,2,2|3,9,43
2,2,2,2,3,4,6,2,2|3,3,6
2,2,2,3,2,2,60,2,2|3,11,60
2,2,2,3,2,3,23,2,2|3,12,23
2,2,2,3,3,2,29,2,2|3,10,29
2,2,2,3,3,3,18,2,2|3,8,17
2,2,2,3,4,4,2,2,2|3,2,2
2,2,3,2,1,2,7,3,1|2|3,3,7
2,2,3,2,2,2,177,3,1|2|3,20,174
2,2,3,2,2,3,121,2,2|3,21,121
2,2,3,2,2,4,7,2,2|3,4,7
2,2,3,2,3,1,2,2,1|2,2,2
2,2,3,2,3,2,86,2,2|3,16,85
2,2,3,2,3,3,86,2,2|3,18,85
2,2,3,2,3,4,7,2,2|3,5,7
2,2,3,3,2,2,181,2,2|3,22,177
2,2,3,3,2,3,118,2,2|3,21,116
2,2,3,3,2,4,5,2,2|3,2,5
2,2,3,3,3,2,117,2,2|3,19,115
2,2,3,3,3,3,82,2,2|3,20,81
2,2,3,3,3,4,8,2,2|3,3,8
2,2,3,3,4,2,6,2,2|3,6,6
2,2,3,3,4,4,2,2,3|4,2,2
2,2,3,4,2,2,2,2,2|3,2,2
2,2,3,4,3,2,3,2,2|3,3,3
2,2,4,2,2,2,3,2,2|3,3,3
2,2,4,3,2,3,7,2,2|3,6,7
2,2,4,3,3,2,2,2,2|3,1,2
2,2,4,3,3,3,6,2,2|3,5,6
2,3,2,2,2,2,59,2,2|3,13,59
2,3,2,2,2,3,31,3,1|2|3,17,31
2,3,2,2,2,4,3,2,2|3,3,3
2,3,2,2,3,2,26,2,2|3,12,26
2,3,2,2,3,3,41,2,2|3,14,41
2,3,2,2,3,4,10,2,2|3,3,10
2,3,2,2,4,3,4,2,2|3,3,4
2,3,2,3,2,2,35,2,2|3,8,35
2,3,2,3,2,3,23,2,2|3,11,23
2,3,2,3,3,2,32,2,2|3,13,32
2,3,2,3,3,3,28,2,2|3,12,28
2,3,2,3,3,4,8,3,2|3|4,3,8
2,3,2,3,4,4,5,2,2|3,2,5
2,3,3,2,2,2,102,2,2|3,16,101
2,3,3,2,2,3,96,2,2|3,19,95
