target_id,target_rater,history_ids,history_count,same_target_order,same_history_order,same_input_sections,same_rubric,same_model_generation,same_parser,no_target_score_leakage,no_target_in_history,correct_rater_only,overall_rubric_only,prompt_tokens,reserved_output_tokens,context_fit
104:1,rater_5,"[""7903:1"", ""5612:2"", ""5083:1""]",3,True,True,True,True,True,True,True,True,True,True,2354,384,True
1125:2,rater_13,"[""3274:1"", ""6763:2"", ""3393:2""]",3,True,True,True,True,True,True,True,True,True,True,2009,384,True
156:2,rater_3,"[""5940:2"", ""79:2"", ""52:2""]",3,True,True,True,True,True,True,True,True,True,True,1799,384,True
1610:2,rater_27,"[""1675:2"", ""1711:2"", ""4949:2""]",3,True,True,True,True,True,True,True,True,True,True,3216,384,True
1808:1,rater_12,"[""7281:2"", ""3394:1"", ""6221:2""]",3,True,True,True,True,True,True,True,True,True,True,2735,384,True
1813:2,rater_4,"[""5896:2"", ""2795:1"", ""1699:2""]",3,True,True,True,True,True,True,True,True,True,True,2949,384,True
1881:2,rater_24,"[""7720:1"", ""629:2"", ""7028:2""]",3,True,True,True,True,True,True,True,True,True,True,2620,384,True
1989:1,rater_6,"[""1993:1"", ""3657:1"", ""176:1""]",3,True,True,True,True,True,True,True,True,True,True,3163,384,True
2016:1,rater_7,"[""6239:1"", ""7859:2"", ""2868:1""]",3,True,True,True,True,True,True,True,True,True,True,2455,384,True
2039:2,rater_22,"[""589:2"", ""2960:2"", ""7219:2""]",3,True,True,True,True,True,True,True,True,True,True,2724,384,True
2042:2,rater_22,"[""2906:2"", ""1828:2"", ""2892:2""]",3,True,True,True,True,True,True,True,True,True,True,2324,384,True
208:2,rater_2,"[""1853:2"", ""2140:2"", ""860:2""]",3,True,True,True,True,True,True,True,True,True,True,2087,384,True
2354:2,rater_2,"[""2163:2"", ""8445:2"", ""6200:1""]",3,True,True,True,True,True,True,True,True,True,True,3024,384,True
2387:1,rater_7,"[""1619:1"", ""286:2"", ""1717:1""]",3,True,True,True,True,True,True,True,True,True,True,2803,384,True
242:1,rater_7,"[""4927:1"", ""8646:1"", ""8615:1""]",3,True,True,True,True,True,True,True,True,True,True,3225,384,True
2431:1,rater_4,"[""6030:2"", ""1398:2"", ""8701:2""]",3,True,True,True,True,True,True,True,True,True,True,2818,384,True
2557:2,rater_11,"[""681:2"", ""4812:2"", ""4591:2""]",3,True,True,True,True,True,True,True,True,True,True,2719,384,True
2615:2,rater_11,"[""5203:2"", ""5535:2"", ""5269:2""]",3,True,True,True,True,True,True,True,True,True,True,3140,384,True
2781:2,rater_2,"[""2451:2"", ""3257:2"", ""6249:2""]",3,True,True,True,True,True,True,True,True,True,True,3308,384,True
2840:1,rater_19,"[""7291:1"", ""6097:1"", ""377:1""]",3,True,True,True,True,True,True,True,True,True,True,3208,384,True
2845:2,rater_9,"[""5488:1"", ""3447:2"", ""2458:1""]",3,True,True,True,True,True,True,True,True,True,True,2415,384,True
2993:1,rater_15,"[""1049:2"", ""7003:1"", ""1548:2""]",3,True,True,True,True,True,True,True,True,True,True,2077,384,True
2993:2,rater_12,"[""1498:1"", ""754:1"", ""6970:2""]",3,True,True,True,True,True,True,True,True,True,True,3190,384,True
3076:1,rater_18,"[""1564:1"", ""7217:1"", ""4147:2""]",3,True,True,True,True,True,True,True,True,True,True,2676,384,True
3088:1,rater_18,"[""450:2"", ""5760:1"", ""5648:1""]",3,True,True,True,True,True,True,True,True,True,True,2658,384,True
3204:1,rater_13,"[""6895:1"", ""4426:2"", ""1425:2""]",3,True,True,True,True,True,True,True,True,True,True,2769,384,True
3252:1,rater_23,"[""5310:2"", ""1629:2"", ""4295:1""]",3,True,True,True,True,True,True,True,True,True,True,3278,384,True
3282:1,rater_1,"[""6469:1"", ""8045:2"", ""6514:1""]",3,True,True,True,True,True,True,True,True,True,True,3994,384,True
3346:1,rater_23,"[""3984:1"", ""4251:1"", ""7667:1""]",3,True,True,True,True,True,True,True,True,True,True,3826,384,True
3372:1,rater_12,"[""619:1"", ""1480:1"", ""5750:2""]",3,True,True,True,True,True,True,True,True,True,True,3322,384,True
3385:1,rater_12,"[""1631:2"", ""1415:1"", ""7084:2""]",3,True,True,True,True,True,True,True,True,True,True,3555,384,True
3473:1,rater_8,"[""3498:1"", ""3547:1"", ""2656:1""]",3,True,True,True,True,True,True,True,True,True,True,2244,384,True
3650:1,rater_7,"[""6379:1"", ""8604:1"", ""418:2""]",3,True,True,True,True,True,True,True,True,True,True,2863,384,True
3718:2,rater_2,"[""3456:2"", ""6574:2"", ""6566:2""]",3,True,True,True,True,True,True,True,True,True,True,2793,384,True
3800:1,rater_8,"[""3458:1"", ""3474:1"", ""3889:1""]",3,True,True,True,True,True,True,True,True,True,True,3115,384,True
3872:2,rater_11,"[""4830:2"", ""4800:2"", ""5603:2""]",3,True,True,True,True,True,True,True,True,True,True,2895,384,True
4224:2,rater_10,"[""4540:1"", ""4255:2"", ""6679:1""]",3,True,True,True,True,True,True,True,True,True,True,2814,384,True
422:2,rater_18,"[""1577:1"", ""3137:1"", ""7185:1""]",3,True,True,True,True,True,True,True,True,True,True,2524,384,True
4279:2,rater_10,"[""4552:1"", ""4548:1"", ""5356:2""]",3,True,True,True,True,True,True,True,True,True,True,2354,384,True
4283:1,rater_23,"[""7686:1"", ""7631:1"", ""4701:1""]",3,True,True,True,True,True,True,True,True,True,True,3171,384,True
4387:2,rater_13,"[""3371:2"", ""530:2"", ""5717:2""]",3,True,True,True,True,True,True,True,True,True,True,2667,384,True
4430:2,rater_2,"[""33:2"", ""3541:2"", ""2787:2""]",3,True,True,True,True,True,True,True,True,True,True,2522,384,True
4565:1,rater_10,"[""4537:1"", ""3985:2"", ""2212:1""]",3,True,True,True,True,True,True,True,True,True,True,2126,384,True
4576:2,rater_11,"[""3804:2"", ""5265:2"", ""5213:2""]",3,True,True,True,True,True,True,True,True,True,True,2509,384,True
4701:1,rater_23,"[""1470:2"", ""4300:1"", ""790:1""]",3,True,True,True,True,True,True,True,True,True,True,2369,384,True
4718:2,rater_10,"[""4688:2"", ""3960:2"", ""7574:2""]",3,True,True,True,True,True,True,True,True,True,True,2413,384,True
475:2,rater_7,"[""904:2"", ""7849:2"", ""2707:1""]",3,True,True,True,True,True,True,True,True,True,True,2805,384,True
4825:2,rater_11,"[""6004:2"", ""3800:2"", ""3825:2""]",3,True,True,True,True,True,True,True,True,True,True,3003,384,True
4848:1,rater_10,"[""4248:2"", ""821:1"", ""353:2""]",3,True,True,True,True,True,True,True,True,True,True,3003,384,True
4869:1,rater_18,"[""7093:1"", ""4917:1"", ""4216:2""]",3,True,True,True,True,True,True,True,True,True,True,2655,384,True
5213:2,rater_11,"[""1137:2"", ""5962:2"", ""4639:2""]",3,True,True,True,True,True,True,True,True,True,True,2869,384,True
5293:1,rater_7,"[""8446:1"", ""8361:1"", ""8402:1""]",3,True,True,True,True,True,True,True,True,True,True,3179,384,True
5374:1,rater_15,"[""7308:2"", ""6957:1"", ""1946:1""]",3,True,True,True,True,True,True,True,True,True,True,3314,384,True
542:2,rater_7,"[""1624:1"", ""6240:1"", ""8716:1""]",3,True,True,True,True,True,True,True,True,True,True,2528,384,True
5498:1,rater_1,"[""3586:2"", ""6539:1"", ""3653:2""]",3,True,True,True,True,True,True,True,True,True,True,3183,384,True
5577:2,rater_2,"[""6430:1"", ""2287:2"", ""6606:2""]",3,True,True,True,True,True,True,True,True,True,True,3343,384,True
5680:1,rater_18,"[""5743:1"", ""572:1"", ""7200:1""]",3,True,True,True,True,True,True,True,True,True,True,2652,384,True
5715:1,rater_1,"[""8051:2"", ""3730:1"", ""3467:1""]",3,True,True,True,True,True,True,True,True,True,True,2869,384,True
5724:1,rater_18,"[""3093:1"", ""4149:2"", ""4114:2""]",3,True,True,True,True,True,True,True,True,True,True,2672,384,True
5726:2,rater_13,"[""1115:2"", ""5899:2"", ""6735:2""]",3,True,True,True,True,True,True,True,True,True,True,2320,384,True
5811:1,rater_6,"[""3664:1"", ""177:1"", ""7972:1""]",3,True,True,True,True,True,True,True,True,True,True,3027,384,True
5846:2,rater_13,"[""4482:2"", ""4870:2"", ""6765:2""]",3,True,True,True,True,True,True,True,True,True,True,3337,384,True
5854:2,rater_13,"[""4369:2"", ""1103:2"", ""4885:2""]",3,True,True,True,True,True,True,True,True,True,True,2611,384,True
5965:1,rater_21,"[""8605:2"", ""2363:1"", ""8587:2""]",3,True,True,True,True,True,True,True,True,True,True,3074,384,True
6007:2,rater_11,"[""3890:2"", ""8853:2"", ""2553:2""]",3,True,True,True,True,True,True,True,True,True,True,2973,384,True
6121:2,rater_15,"[""5300:1"", ""7287:2"", ""2965:1""]",3,True,True,True,True,True,True,True,True,True,True,3267,384,True
6215:2,rater_12,"[""2931:1"", ""2974:2"", ""5373:2""]",3,True,True,True,True,True,True,True,True,True,True,3060,384,True
6298:2,rater_15,"[""6083:2"", ""4322:1"", ""7161:2""]",3,True,True,True,True,True,True,True,True,True,True,3195,384,True
6343:1,rater_21,"[""6360:1"", ""6009:1"", ""1978:2""]",3,True,True,True,True,True,True,True,True,True,True,3017,384,True
6362:1,rater_21,"[""1106:1"", ""1839:2"", ""8598:2""]",3,True,True,True,True,True,True,True,True,True,True,4445,384,True
6674:2,rater_11,"[""2500:2"", ""4536:2"", ""5410:2""]",3,True,True,True,True,True,True,True,True,True,True,2886,384,True
6685:1,rater_10,"[""517:2"", ""8394:2"", ""4255:2""]",3,True,True,True,True,True,True,True,True,True,True,3222,384,True
6829:1,rater_12,"[""2975:2"", ""7089:2"", ""5763:2""]",3,True,True,True,True,True,True,True,True,True,True,2491,384,True
6856:1,rater_13,"[""6921:1"", ""1097:2"", ""4923:2""]",3,True,True,True,True,True,True,True,True,True,True,2229,384,True
6955:2,rater_12,"[""6209:2"", ""1183:2"", ""3041:2""]",3,True,True,True,True,True,True,True,True,True,True,3240,384,True
7013:1,rater_15,"[""6069:2"", ""4313:1"", ""5274:1""]",3,True,True,True,True,True,True,True,True,True,True,3063,384,True
704:2,rater_2,"[""7507:1"", ""2885:2"", ""6558:2""]",3,True,True,True,True,True,True,True,True,True,True,2821,384,True
716:1,rater_18,"[""5677:1"", ""4890:1"", ""5654:1""]",3,True,True,True,True,True,True,True,True,True,True,2658,384,True
7183:2,rater_15,"[""4314:1"", ""1568:2"", ""4498:1""]",3,True,True,True,True,True,True,True,True,True,True,2400,384,True
7237:2,rater_27,"[""7734:2"", ""4717:2"", ""1763:2""]",3,True,True,True,True,True,True,True,True,True,True,2390,384,True
7433:1,rater_19,"[""325:1"", ""6110:1"", ""2816:1""]",3,True,True,True,True,True,True,True,True,True,True,2620,384,True
7584:2,rater_10,"[""2177:1"", ""4665:2"", ""8397:2""]",3,True,True,True,True,True,True,True,True,True,True,3331,384,True
7601:2,rater_10,"[""2567:1"", ""440:2"", ""387:2""]",3,True,True,True,True,True,True,True,True,True,True,2668,384,True
7630:2,rater_10,"[""4545:1"", ""4229:2"", ""7569:2""]",3,True,True,True,True,True,True,True,True,True,True,2413,384,True
7793:1,rater_3,"[""151:2"", ""7846:2"", ""5811:2""]",3,True,True,True,True,True,True,True,True,True,True,3047,384,True
7907:2,rater_6,"[""8319:1"", ""8024:1"", ""3621:1""]",3,True,True,True,True,True,True,True,True,True,True,2463,384,True
8005:1,rater_6,"[""3558:1"", ""8305:1"", ""8097:1""]",3,True,True,True,True,True,True,True,True,True,True,3026,384,True
8079:2,rater_1,"[""12:1"", ""121:2"", ""41:1""]",3,True,True,True,True,True,True,True,True,True,True,1830,384,True
8197:2,rater_2,"[""189:2"", ""8568:2"", ""2121:2""]",3,True,True,True,True,True,True,True,True,True,True,2343,384,True
8415:1,rater_7,"[""875:1"", ""240:1"", ""501:2""]",3,True,True,True,True,True,True,True,True,True,True,2869,384,True
8443:2,rater_2,"[""8454:2"", ""744:1"", ""38:2""]",3,True,True,True,True,True,True,True,True,True,True,2455,384,True
8521:2,rater_2,"[""7658:2"", ""7811:2"", ""6348:2""]",3,True,True,True,True,True,True,True,True,True,True,2826,384,True
8580:2,rater_21,"[""6001:1"", ""1945:2"", ""1760:2""]",3,True,True,True,True,True,True,True,True,True,True,2907,384,True
8632:2,rater_23,"[""1395:1"", ""7652:1"", ""7612:1""]",3,True,True,True,True,True,True,True,True,True,True,3250,384,True
8656:1,rater_7,"[""2125:1"", ""1957:1"", ""436:2""]",3,True,True,True,True,True,True,True,True,True,True,2218,384,True
8656:2,rater_4,"[""7812:1"", ""1514:2"", ""3156:1""]",3,True,True,True,True,True,True,True,True,True,True,2475,384,True
8669:1,rater_7,"[""6269:1"", ""8480:1"", ""8573:1""]",3,True,True,True,True,True,True,True,True,True,True,3157,384,True
8771:2,rater_11,"[""828:2"", ""5435:2"", ""8755:2""]",3,True,True,True,True,True,True,True,True,True,True,2805,384,True
8877:1,rater_9,"[""5432:1"", ""3459:2"", ""5056:1""]",3,True,True,True,True,True,True,True,True,True,True,2748,384,True
894:1,rater_19,"[""6071:1"", ""7440:1"", ""6115:1""]",3,True,True,True,True,True,True,True,True,True,True,3067,384,True
