target_id,history_explicitly_referenced,rubric_explicitly_referenced,neighboring_score_comparison_present
104:1,True,False,False
1125:2,False,False,False
156:2,True,False,True
1610:2,False,False,False
1808:1,True,False,False
1813:2,False,False,False
1881:2,False,False,False
1989:1,True,True,False
2016:1,True,False,False
2039:2,True,False,False
2042:2,False,False,True
208:2,False,False,False
2354:2,True,True,False
2387:1,True,False,False
242:1,True,True,False
2431:1,False,False,False
2557:2,True,False,True
2615:2,True,False,True
2781:2,True,True,False
2840:1,True,False,False
2845:2,True,False,False
2993:1,True,False,False
2993:2,True,True,False
3076:1,True,False,True
3088:1,False,False,False
3204:1,False,False,False
3252:1,True,False,True
3282:1,True,False,True
3346:1,False,False,False
3372:1,True,False,True
3385:1,True,False,True
3473:1,True,False,False
3650:1,True,False,False
3718:2,True,False,False
3800:1,True,False,False
3872:2,False,False,False
4224:2,True,False,False
422:2,True,False,True
4279:2,False,False,False
4283:1,True,False,True
4387:2,True,False,False
4430:2,False,False,False
4565:1,True,False,True
4576:2,False,False,False
4701:1,False,False,False
4718:2,True,False,True
475:2,True,False,True
4825:2,True,False,True
4848:1,False,False,False
4869:1,True,False,False
5213:2,True,True,False
5293:1,True,False,True
5374:1,True,False,False
542:2,True,True,False
5498:1,True,False,False
5577:2,True,False,False
5680:1,True,True,False
5715:1,True,False,False
5724:1,True,False,False
5726:2,True,True,False
5811:1,True,False,False
5846:2,True,False,False
5854:2,False,False,False
5965:1,True,True,False
6007:2,True,False,True
6121:2,True,False,True
6215:2,False,False,False
6298:2,True,False,False
6343:1,False,False,False
6362:1,True,True,False
6674:2,True,False,False
6685:1,True,False,False
6829:1,True,False,True
6856:1,True,False,True
6955:2,True,True,False
7013:1,True,False,True
704:2,True,False,False
716:1,False,False,True
7183:2,True,False,False
7237:2,True,False,True
7433:1,False,False,False
7584:2,True,False,True
7601:2,False,False,False
7630:2,True,False,True
7793:1,True,False,False
7907:2,True,False,True
8005:1,True,False,False
8079:2,True,False,True
8197:2,False,False,False
8415:1,True,False,True
8443:2,False,False,False
8521:2,True,False,True
8580:2,True,False,False
8632:2,True,False,True
8656:1,False,False,True
8656:2,False,False,False
8669:1,True,False,True
8771:2,True,False,False
8877:1,True,False,True
894:1,True,False,False
