max_model_len,phase,k,targets_total,targets_fit,fit_rate,output_budget,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_p90,prompt_tokens_p95,prompt_tokens_max
4096,phase1_prediction,1,17598,17598,1.0,384,1209.3291851346744,1171.0,1634.0,1801.0,2920
8192,phase1_prediction,1,17598,17598,1.0,384,1209.3291851346744,1171.0,1634.0,1801.0,2920
16384,phase1_prediction,1,17598,17598,1.0,384,1209.3291851346744,1171.0,1634.0,1801.0,2920
32768,phase1_prediction,1,17598,17598,1.0,384,1209.3291851346744,1171.0,1634.0,1801.0,2920
4096,phase1_prediction,3,17598,17515,0.9952835549494261,384,2302.5679054438006,2264.5,2893.0,3103.0,4537
8192,phase1_prediction,3,17598,17598,1.0,384,2302.5679054438006,2264.5,2893.0,3103.0,4537
16384,phase1_prediction,3,17598,17598,1.0,384,2302.5679054438006,2264.5,2893.0,3103.0,4537
32768,phase1_prediction,3,17598,17598,1.0,384,2302.5679054438006,2264.5,2893.0,3103.0,4537
4096,phase1_prediction,5,17598,12853,0.7303670871689965,384,3400.4839754517557,3361.0,4118.0,4376.0,6078
8192,phase1_prediction,5,17598,17598,1.0,384,3400.4839754517557,3361.0,4118.0,4376.0,6078
16384,phase1_prediction,5,17598,17598,1.0,384,3400.4839754517557,3361.0,4118.0,4376.0,6078
32768,phase1_prediction,5,17598,17598,1.0,384,3400.4839754517557,3361.0,4118.0,4376.0,6078
4096,phase1_prediction,7,17598,1756,0.09978406637117854,384,4501.715706330265,4464.0,5338.0,5621.0,7740
8192,phase1_prediction,7,17598,17598,1.0,384,4501.715706330265,4464.0,5338.0,5621.0,7740
16384,phase1_prediction,7,17598,17598,1.0,384,4501.715706330265,4464.0,5338.0,5621.0,7740
32768,phase1_prediction,7,17598,17598,1.0,384,4501.715706330265,4464.0,5338.0,5621.0,7740
4096,phase1_prediction,10,17598,21,0.0011933174224343676,384,6144.641777474713,6110.0,7151.0,7474.0,9399
8192,phase1_prediction,10,17598,17235,0.9793726559836345,384,6144.641777474713,6110.0,7151.0,7474.0,9399
16384,phase1_prediction,10,17598,17598,1.0,384,6144.641777474713,6110.0,7151.0,7474.0,9399
32768,phase1_prediction,10,17598,17598,1.0,384,6144.641777474713,6110.0,7151.0,7474.0,9399
4096,reference_generation,1,17598,17598,1.0,384,1198.3291851346744,1160.0,1623.0,1790.0,2909
8192,reference_generation,1,17598,17598,1.0,384,1198.3291851346744,1160.0,1623.0,1790.0,2909
16384,reference_generation,1,17598,17598,1.0,384,1198.3291851346744,1160.0,1623.0,1790.0,2909
32768,reference_generation,1,17598,17598,1.0,384,1198.3291851346744,1160.0,1623.0,1790.0,2909
4096,reference_generation,3,17598,17518,0.9954540288669167,384,2291.5679054438006,2253.5,2882.0,3092.0,4526
8192,reference_generation,3,17598,17598,1.0,384,2291.5679054438006,2253.5,2882.0,3092.0,4526
16384,reference_generation,3,17598,17598,1.0,384,2291.5679054438006,2253.5,2882.0,3092.0,4526
32768,reference_generation,3,17598,17598,1.0,384,2291.5679054438006,2253.5,2882.0,3092.0,4526
4096,reference_generation,5,17598,12967,0.7368450960336402,384,3389.4839754517557,3350.0,4107.0,4365.0,6067
8192,reference_generation,5,17598,17598,1.0,384,3389.4839754517557,3350.0,4107.0,4365.0,6067
