target_id,rater_id,K,history_count,history_ids,prompt_tokens,context_fit,target_leaked,prompt_language
104:1,rater_5,0,0,,499,True,False,en
104:1,rater_5,1,1,7903:1,784,True,False,en
104:1,rater_5,3,3,7903:1|5612:2|5083:1,1906,True,False,en
104:1,rater_5,5,5,7903:1|5612:2|5083:1|7912:1|186:2,2570,True,False,en
104:1,rater_5,7,7,7903:1|5612:2|5083:1|7912:1|186:2|5450:2|121:1,3991,True,False,en
1125:2,rater_13,0,0,,449,True,False,en
1125:2,rater_13,1,1,3274:1,778,True,False,en
1125:2,rater_13,3,3,3274:1|6763:2|3393:2,1561,True,False,en
1125:2,rater_13,5,5,3274:1|6763:2|3393:2|3216:1|3356:2,2649,True,False,en
1125:2,rater_13,7,7,3274:1|6763:2|3393:2|3216:1|3356:2|4926:2|5694:2,3567,True,False,en
156:2,rater_3,0,0,,342,True,False,en
156:2,rater_3,1,1,5940:2,906,True,False,en
156:2,rater_3,3,3,5940:2|79:2|52:2,1351,True,False,en
156:2,rater_3,5,5,5940:2|79:2|52:2|70:2|1225:1,2259,True,False,en
156:2,rater_3,7,7,5940:2|79:2|52:2|70:2|1225:1|6112:2|6070:1,3381,True,False,en
1610:2,rater_27,0,0,,1458,True,False,en
1610:2,rater_27,1,1,1675:2,1814,True,False,en
1610:2,rater_27,3,3,1675:2|1711:2|4949:2,2768,True,False,en
1610:2,rater_27,5,5,1675:2|1711:2|4949:2|1794:2|4546:2,3759,True,False,en
1610:2,rater_27,7,7,1675:2|1711:2|4949:2|1794:2|4546:2|8015:2|5031:2,4576,True,False,en
1808:1,rater_12,0,0,,976,True,False,en
1808:1,rater_12,1,1,7281:2,1614,True,False,en
1808:1,rater_12,3,3,7281:2|3394:1|6221:2,2287,True,False,en
1808:1,rater_12,5,5,7281:2|3394:1|6221:2|1798:1|746:1,3935,True,False,en
1808:1,rater_12,7,7,7281:2|3394:1|6221:2|1798:1|746:1|530:1|7095:2,5612,True,False,en
1813:2,rater_4,0,0,,1028,True,False,en
1813:2,rater_4,1,1,5896:2,1414,True,False,en
1813:2,rater_4,3,3,5896:2|2795:1|1699:2,2501,True,False,en
1813:2,rater_4,5,5,5896:2|2795:1|1699:2|61:1|2125:2,3255,True,False,en
1813:2,rater_4,7,7,5896:2|2795:1|1699:2|61:1|2125:2|7865:1|2524:1,4378,True,False,en
1881:2,rater_24,0,0,,812,True,False,en
1881:2,rater_24,1,1,7720:1,1393,True,False,en
1881:2,rater_24,3,3,7720:1|629:2|7028:2,2172,True,False,en
1881:2,rater_24,5,5,7720:1|629:2|7028:2|608:2|1798:2,3098,True,False,en
1881:2,rater_24,7,7,7720:1|629:2|7028:2|608:2|1798:2|602:2|2901:2,4568,True,False,en
1989:1,rater_6,0,0,,868,True,False,en
1989:1,rater_6,1,1,1993:1,1623,True,False,en
1989:1,rater_6,3,3,1993:1|3657:1|176:1,2715,True,False,en
1989:1,rater_6,5,5,1993:1|3657:1|176:1|7945:1|4757:1,3546,True,False,en
1989:1,rater_6,7,7,1993:1|3657:1|176:1|7945:1|4757:1|8100:1|131:1,4478,True,False,en
2016:1,rater_7,0,0,,628,True,False,en
2016:1,rater_7,1,1,6239:1,931,True,False,en
2016:1,rater_7,3,3,6239:1|7859:2|2868:1,2007,True,False,en
2016:1,rater_7,5,5,6239:1|7859:2|2868:1|5416:1|6477:1,3182,True,False,en
