K,rater_id,count,accuracy,mae
1,rater_1,4,1.0,0.0
1,rater_10,9,0.3333333333333333,0.7777777777777778
1,rater_11,9,0.4444444444444444,0.5555555555555556
1,rater_12,7,0.5714285714285714,0.42857142857142855
1,rater_13,7,0.2857142857142857,0.7142857142857143
1,rater_15,6,0.3333333333333333,0.6666666666666666
1,rater_18,7,0.42857142857142855,0.5714285714285714
1,rater_19,3,0.3333333333333333,0.6666666666666666
1,rater_2,10,0.4,0.6
1,rater_21,4,0.25,0.75
1,rater_22,2,0.5,0.5
1,rater_23,5,0.6,0.4
1,rater_24,1,0.0,1.0
1,rater_27,2,0.5,0.5
1,rater_3,2,1.0,0.0
1,rater_4,3,0.3333333333333333,1.0
1,rater_5,1,1.0,0.0
1,rater_6,4,0.5,0.75
1,rater_7,10,0.4,0.8
1,rater_8,2,0.0,1.0
1,rater_9,2,0.0,1.0
3,rater_1,4,1.0,0.0
3,rater_10,9,0.3333333333333333,0.7777777777777778
3,rater_11,9,0.4444444444444444,0.5555555555555556
3,rater_12,7,0.7142857142857143,0.2857142857142857
3,rater_13,7,0.42857142857142855,0.5714285714285714
3,rater_15,6,0.3333333333333333,0.6666666666666666
3,rater_18,7,0.5714285714285714,0.42857142857142855
3,rater_19,3,0.3333333333333333,0.6666666666666666
3,rater_2,10,0.8,0.2
3,rater_21,4,0.5,0.5
3,rater_22,2,1.0,0.0
3,rater_23,5,0.8,0.2
3,rater_24,1,0.0,1.0
3,rater_27,2,1.0,0.0
3,rater_3,2,1.0,0.0
3,rater_4,3,0.3333333333333333,1.0
3,rater_5,1,1.0,0.0
3,rater_6,4,0.5,0.75
3,rater_7,10,0.6,0.5
3,rater_8,2,0.0,1.0
3,rater_9,2,0.5,0.5
5,rater_1,4,1.0,0.0
5,rater_10,9,0.3333333333333333,0.7777777777777778
5,rater_11,9,0.5555555555555556,0.4444444444444444
5,rater_12,7,0.7142857142857143,0.2857142857142857
5,rater_13,7,0.5714285714285714,0.42857142857142855
5,rater_15,6,0.3333333333333333,0.6666666666666666
5,rater_18,7,0.5714285714285714,0.42857142857142855
5,rater_19,3,0.6666666666666666,0.3333333333333333
5,rater_2,10,0.5,0.5
5,rater_21,4,0.5,0.5
5,rater_22,2,0.5,0.5
5,rater_23,5,0.6,0.4
5,rater_24,1,0.0,1.0
5,rater_27,2,1.0,0.0
5,rater_3,2,1.0,0.0
5,rater_4,3,0.3333333333333333,1.0
5,rater_5,1,1.0,0.0
5,rater_6,4,0.5,0.75
5,rater_7,10,0.6,0.4
5,rater_8,2,0.0,1.0
5,rater_9,2,0.5,0.5
7,rater_1,4,1.0,0.0
7,rater_10,9,0.3333333333333333,0.7777777777777778
7,rater_11,9,0.4444444444444444,0.5555555555555556
7,rater_12,7,0.5714285714285714,0.42857142857142855
7,rater_13,7,0.42857142857142855,0.5714285714285714
7,rater_15,6,0.3333333333333333,0.6666666666666666
7,rater_18,7,0.5714285714285714,0.42857142857142855
7,rater_19,3,0.3333333333333333,0.6666666666666666
7,rater_2,10,0.6,0.4
7,rater_21,4,0.5,0.5
7,rater_22,2,0.5,0.5
7,rater_23,5,0.4,0.6
7,rater_24,1,0.0,1.0
7,rater_27,2,1.0,0.0
7,rater_3,2,0.5,0.5
7,rater_4,3,0.3333333333333333,0.6666666666666666
7,rater_5,1,1.0,0.0
7,rater_6,4,0.5,0.75
7,rater_7,10,0.7,0.4
7,rater_8,2,0.0,1.0
7,rater_9,2,0.5,0.5
