target_id,1,3,5,7
104:1,0,0,0,0
1125:2,1,0,0,0
156:2,0,0,0,1
1610:2,0,0,0,0
1808:1,1,1,1,1
1813:2,1,1,1,1
1881:2,1,1,1,1
1989:1,1,1,1,1
2016:1,0,0,0,0
2039:2,0,0,0,0
2042:2,1,0,1,1
208:2,1,0,1,0
2354:2,0,0,0,0
2387:1,0,0,0,0
242:1,2,1,1,1
2431:1,0,0,0,0
2557:2,1,1,1,1
2615:2,1,1,1,1
2781:2,1,1,1,1
2840:1,1,1,0,1
2845:2,1,1,1,1
2993:1,1,1,1,1
2993:2,0,0,0,0
3076:1,1,0,0,0
3088:1,0,0,0,0
3204:1,1,0,0,0
3252:1,1,1,1,1
3282:1,0,0,0,0
3346:1,0,0,0,0
3372:1,1,0,0,0
3385:1,1,1,1,1
3473:1,1,1,1,1
3650:1,1,0,0,0
3718:2,1,0,0,0
3800:1,1,1,1,1
3872:2,0,0,0,0
4224:2,0,0,0,0
422:2,1,1,1,1
4279:2,1,1,1,1
4283:1,0,0,1,1
4387:2,1,1,1,1
4430:2,1,0,1,1
4565:1,1,1,1,1
4576:2,0,0,0,0
4701:1,0,0,0,0
4718:2,2,2,2,2
475:2,1,1,1,1
4825:2,0,0,0,0
4848:1,1,1,1,1
4869:1,0,0,0,0
5213:2,1,1,0,1
5293:1,0,0,0,0
5374:1,0,0,0,0
542:2,0,0,0,0
5498:1,0,0,0,0
5577:2,0,0,1,1
5680:1,1,1,1,1
5715:1,0,0,0,0
5724:1,1,1,1,1
5726:2,0,0,0,0
5811:1,0,0,0,0
5846:2,0,1,0,1
5854:2,1,1,1,1
5965:1,1,1,1,1
6007:2,1,1,1,1
6121:2,0,0,0,0
6215:2,0,0,0,1
6298:2,1,1,1,1
6343:1,1,0,0,0
6362:1,0,0,0,0
6674:2,1,1,1,1
6685:1,0,0,0,0
6829:1,0,0,0,0
6856:1,1,1,1,1
6955:2,0,0,0,0
7013:1,1,1,1,1
704:2,0,0,0,0
716:1,0,0,0,0
7183:2,1,1,1,1
7237:2,1,0,0,0
7433:1,0,0,0,0
7584:2,1,1,1,1
7601:2,1,1,1,1
7630:2,0,0,0,0
7793:1,0,0,0,0
7907:2,0,0,0,0
8005:1,2,2,2,2
8079:2,0,0,0,0
8197:2,1,1,1,1
8415:1,2,2,1,2
8443:2,1,0,0,0
8521:2,0,0,0,0
8580:2,1,1,1,1
8632:2,1,0,0,1
8656:1,1,0,0,0
8656:2,2,2,2,1
8669:1,1,1,1,0
8771:2,0,0,0,0
8877:1,1,0,0,0
894:1,1,1,1,1
