condition,rater_id,n,accuracy,mae
k0,rater_1,4,1.0,0.0
k0,rater_10,9,0.3333333333333333,0.7777777777777778
k0,rater_11,9,0.4444444444444444,0.5555555555555556
k0,rater_12,7,0.7142857142857143,0.2857142857142857
k0,rater_13,7,0.5714285714285714,0.42857142857142855
k0,rater_15,6,0.3333333333333333,0.6666666666666666
k0,rater_18,7,0.42857142857142855,0.5714285714285714
k0,rater_19,3,0.3333333333333333,0.6666666666666666
k0,rater_2,10,0.8,0.2
k0,rater_21,4,0.75,0.25
k0,rater_22,2,0.5,0.5
k0,rater_23,5,0.8,0.2
k0,rater_24,1,1.0,0.0
k0,rater_27,2,1.0,0.0
k0,rater_3,2,0.5,0.5
k0,rater_4,3,0.3333333333333333,1.0
k0,rater_5,1,1.0,0.0
k0,rater_6,4,0.75,0.5
k0,rater_7,10,0.4,0.7
k0,rater_8,2,0.0,1.0
k0,rater_9,2,0.0,1.0
k0_with_rubric,rater_1,4,1.0,0.0
k0_with_rubric,rater_10,9,0.3333333333333333,0.7777777777777778
k0_with_rubric,rater_11,9,0.3333333333333333,0.6666666666666666
k0_with_rubric,rater_12,7,0.7142857142857143,0.2857142857142857
k0_with_rubric,rater_13,7,0.5714285714285714,0.42857142857142855
k0_with_rubric,rater_15,6,0.3333333333333333,0.6666666666666666
k0_with_rubric,rater_18,7,0.5714285714285714,0.42857142857142855
k0_with_rubric,rater_19,3,0.3333333333333333,0.6666666666666666
k0_with_rubric,rater_2,10,0.6,0.4
k0_with_rubric,rater_21,4,0.75,0.25
k0_with_rubric,rater_22,2,0.5,0.5
k0_with_rubric,rater_23,5,0.8,0.2
k0_with_rubric,rater_24,1,0.0,1.0
k0_with_rubric,rater_27,2,1.0,0.0
k0_with_rubric,rater_3,2,0.5,0.5
k0_with_rubric,rater_4,3,0.3333333333333333,0.6666666666666666
k0_with_rubric,rater_5,1,1.0,0.0
k0_with_rubric,rater_6,4,0.5,0.75
k0_with_rubric,rater_7,10,0.6,0.4
k0_with_rubric,rater_8,2,0.0,1.0
k0_with_rubric,rater_9,2,0.5,0.5
raw_k3,rater_1,4,1.0,0.0
raw_k3,rater_10,9,0.2222222222222222,1.0
raw_k3,rater_11,9,0.4444444444444444,0.6666666666666666
raw_k3,rater_12,7,0.5714285714285714,0.42857142857142855
raw_k3,rater_13,7,0.42857142857142855,0.5714285714285714
raw_k3,rater_15,6,0.3333333333333333,0.6666666666666666
raw_k3,rater_18,7,0.5714285714285714,0.42857142857142855
raw_k3,rater_19,3,0.3333333333333333,0.6666666666666666
raw_k3,rater_2,10,0.7,0.3
raw_k3,rater_21,4,0.5,0.5
raw_k3,rater_22,2,1.0,0.0
raw_k3,rater_23,5,0.6,0.4
raw_k3,rater_24,1,0.0,1.0
raw_k3,rater_27,2,1.0,0.0
raw_k3,rater_3,2,1.0,0.0
raw_k3,rater_4,3,0.6666666666666666,0.6666666666666666
raw_k3,rater_5,1,1.0,0.0
raw_k3,rater_6,4,0.5,0.75
raw_k3,rater_7,10,0.6,0.6
raw_k3,rater_8,2,0.0,1.0
raw_k3,rater_9,2,0.0,1.0
raw_k3_with_rubric,rater_1,4,1.0,0.0
raw_k3_with_rubric,rater_10,9,0.3333333333333333,0.6666666666666666
raw_k3_with_rubric,rater_11,9,0.5555555555555556,0.4444444444444444
raw_k3_with_rubric,rater_12,7,0.7142857142857143,0.2857142857142857
raw_k3_with_rubric,rater_13,7,0.42857142857142855,0.5714285714285714
raw_k3_with_rubric,rater_15,6,0.3333333333333333,0.6666666666666666
raw_k3_with_rubric,rater_18,7,0.42857142857142855,0.5714285714285714
raw_k3_with_rubric,rater_19,3,0.3333333333333333,0.6666666666666666
raw_k3_with_rubric,rater_2,10,0.8,0.2
raw_k3_with_rubric,rater_21,4,0.5,0.5
raw_k3_with_rubric,rater_22,2,1.0,0.0
raw_k3_with_rubric,rater_23,5,0.6,0.4
raw_k3_with_rubric,rater_24,1,0.0,1.0
raw_k3_with_rubric,rater_27,2,1.0,0.0
raw_k3_with_rubric,rater_3,2,1.0,0.0
raw_k3_with_rubric,rater_4,3,0.3333333333333333,1.0
raw_k3_with_rubric,rater_5,1,1.0,0.0
raw_k3_with_rubric,rater_6,4,0.5,0.75
raw_k3_with_rubric,rater_7,10,0.6,0.6
raw_k3_with_rubric,rater_8,2,0.0,1.0
raw_k3_with_rubric,rater_9,2,0.5,0.5
