target_id,wrong_rater,history_count,prompt_tokens,context_fit,prompt_language
104:1,rater_22,3,1840,True,en
1125:2,rater_23,3,2199,True,en
156:2,rater_25,3,2318,True,en
1610:2,rater_1,3,2824,True,en
1808:1,rater_25,3,2984,True,en
1813:2,rater_13,3,2618,True,en
1881:2,rater_7,3,2126,True,en
1989:1,rater_16,3,2615,True,en
2016:1,rater_8,3,2032,True,en
2039:2,rater_1,3,1764,True,en
2042:2,rater_27,3,2103,True,en
208:2,rater_19,3,2212,True,en
2354:2,rater_26,3,2436,True,en
2387:1,rater_16,3,1965,True,en
242:1,rater_19,3,2075,True,en
2431:1,rater_26,3,2317,True,en
2557:2,rater_15,3,2360,True,en
2615:2,rater_18,3,2857,True,en
2781:2,rater_15,3,2880,True,en
2840:1,rater_12,3,2262,True,en
2845:2,rater_18,3,3308,True,en
2993:1,rater_26,3,1958,True,en
2993:2,rater_25,3,2421,True,en
3076:1,rater_23,3,1798,True,en
3088:1,rater_10,3,2951,True,en
3204:1,rater_3,3,2212,True,en
3252:1,rater_3,3,2031,True,en
3282:1,rater_8,3,2282,True,en
3346:1,rater_18,3,3915,True,en
3372:1,rater_8,3,2532,True,en
3385:1,rater_26,3,2032,True,en
3473:1,rater_10,3,2975,True,en
3650:1,rater_19,3,2379,True,en
3718:2,rater_8,3,1788,True,en
3800:1,rater_13,3,2316,True,en
3872:2,rater_10,3,2368,True,en
4224:2,rater_19,3,2170,True,en
422:2,rater_27,3,2495,True,en
4279:2,rater_21,3,1941,True,en
4283:1,rater_18,3,2880,True,en
4387:2,rater_16,3,2091,True,en
4430:2,rater_9,3,2009,True,en
4565:1,rater_5,3,1276,True,en
4576:2,rater_10,3,2497,True,en
4701:1,rater_11,3,1842,True,en
4718:2,rater_11,3,2338,True,en
475:2,rater_15,3,2729,True,en
4825:2,rater_19,3,2285,True,en
4848:1,rater_15,3,2694,True,en
4869:1,rater_13,3,2807,True,en
5213:2,rater_9,3,2789,True,en
5293:1,rater_18,3,2237,True,en
5374:1,rater_4,3,3123,True,en
542:2,rater_5,3,1839,True,en
5498:1,rater_4,3,2004,True,en
5577:2,rater_13,3,2748,True,en
5680:1,rater_23,3,1686,True,en
5715:1,rater_7,3,3061,True,en
5724:1,rater_6,3,2095,True,en
5726:2,rater_20,3,2321,True,en
5811:1,rater_13,3,3227,True,en
5846:2,rater_9,3,2364,True,en
5854:2,rater_9,3,1829,True,en
5965:1,rater_20,3,2261,True,en
6007:2,rater_16,3,1865,True,en
6121:2,rater_18,3,1891,True,en
6215:2,rater_20,3,2603,True,en
6298:2,rater_17,3,3521,True,en
6343:1,rater_12,3,2093,True,en
6362:1,rater_13,3,3223,True,en
6674:2,rater_20,3,2146,True,en
6685:1,rater_3,3,2075,True,en
6829:1,rater_20,3,2091,True,en
6856:1,rater_12,3,2098,True,en
6955:2,rater_20,3,2942,True,en
7013:1,rater_13,3,2876,True,en
704:2,rater_5,3,1697,True,en
716:1,rater_6,3,1778,True,en
7183:2,rater_4,3,2354,True,en
7237:2,rater_24,3,2495,True,en
7433:1,rater_6,3,1995,True,en
7584:2,rater_19,3,2080,True,en
7601:2,rater_24,3,3323,True,en
7630:2,rater_24,3,2293,True,en
7793:1,rater_27,3,2608,True,en
7907:2,rater_10,3,2910,True,en
8005:1,rater_10,3,2278,True,en
8079:2,rater_19,3,1888,True,en
8197:2,rater_1,3,1938,True,en
8415:1,rater_5,3,2017,True,en
8443:2,rater_9,3,2243,True,en
8521:2,rater_3,3,2481,True,en
8580:2,rater_27,3,2402,True,en
8632:2,rater_21,3,3162,True,en
8656:1,rater_8,3,2435,True,en
8656:2,rater_15,3,2943,True,en
8669:1,rater_23,3,1945,True,en
8771:2,rater_15,3,2045,True,en
8877:1,rater_7,3,2394,True,en
894:1,rater_7,3,2313,True,en
