target_id,target_rater,correct_history_rater,wrong_history_rater,correct_history_id_1,correct_history_id_2,correct_history_id_3,wrong_history_id_1,wrong_history_id_2,wrong_history_id_3
104:1,rater_5,rater_5,rater_22,7903:1,5612:2,5083:1,2932:2,6815:2,2961:2
1125:2,rater_13,rater_13,rater_23,3274:1,6763:2,3393:2,882:2,3252:1,3941:1
156:2,rater_3,rater_3,rater_25,5940:2,79:2,52:2,7728:1,718:1,696:1
1610:2,rater_27,rater_27,rater_1,1675:2,1711:2,4949:2,8039:2,3491:1,3671:1
1808:1,rater_12,rater_12,rater_25,7281:2,3394:1,6221:2,690:2,680:1,7727:1
1813:2,rater_4,rater_4,rater_13,5896:2,2795:1,1699:2,4932:2,6868:1,5629:2
1881:2,rater_24,rater_24,rater_7,7720:1,629:2,7028:2,8728:1,1461:1,2404:1
1989:1,rater_6,rater_6,rater_16,1993:1,3657:1,176:1,3407:2,505:2,7009:2
2016:1,rater_7,rater_7,rater_8,6239:1,7859:2,2868:1,1355:1,1338:1,2575:1
2039:2,rater_22,rater_22,rater_1,589:2,2960:2,7219:2,3626:2,4111:1,8027:2
2042:2,rater_22,rater_22,rater_27,2906:2,1828:2,2892:2,1725:2,5021:2,7710:2
208:2,rater_2,rater_2,rater_19,1853:2,2140:2,860:2,7364:1,7242:1,7404:1
2354:2,rater_2,rater_2,rater_26,2163:2,8445:2,6200:1,1214:1,1098:1,1212:1
2387:1,rater_7,rater_7,rater_16,1619:1,286:2,1717:1,407:2,2743:2,7331:2
242:1,rater_7,rater_7,rater_19,4927:1,8646:1,8615:1,6073:1,448:1,941:1
2431:1,rater_4,rater_4,rater_26,6030:2,1398:2,8701:2,1790:1,1671:1,1792:1
2557:2,rater_11,rater_11,rater_15,681:2,4812:2,4591:2,1598:2,7177:2,6132:2
2615:2,rater_11,rater_11,rater_18,5203:2,5535:2,5269:2,5807:1,7465:2,5800:1
2781:2,rater_2,rater_2,rater_15,2451:2,3257:2,6249:2,5318:1,6963:1,4455:1
2840:1,rater_19,rater_19,rater_12,7291:1,6097:1,377:1,3357:1,6407:2,631:1
2845:2,rater_9,rater_9,rater_18,5488:1,3447:2,2458:1,5759:1,7117:1,5842:1
2993:1,rater_15,rater_15,rater_26,1049:2,7003:1,1548:2,1752:1,1215:1,1201:1
2993:2,rater_12,rater_12,rater_25,1498:1,754:1,6970:2,717:1,695:1,680:1
3076:1,rater_18,rater_18,rater_23,1564:1,7217:1,4147:2,3982:1,7625:1,5185:2
3088:1,rater_18,rater_18,rater_10,450:2,5760:1,5648:1,8359:2,8386:2,6692:1
3204:1,rater_13,rater_13,rater_3,6895:1,4426:2,1425:2,1186:1,6172:2,1236:1
3252:1,rater_23,rater_23,rater_3,5310:2,1629:2,4295:1,156:2,5859:1,7772:1
3282:1,rater_1,rater_1,rater_8,6469:1,8045:2,6514:1,267:1,3513:1,2573:1
3346:1,rater_23,rater_23,rater_18,3984:1,4251:1,7667:1,4862:1,7153:1,4897:1
3372:1,rater_12,rater_12,rater_8,619:1,1480:1,5750:2,360:1,3897:1,256:1
3385:1,rater_12,rater_12,rater_26,1631:2,1415:1,7084:2,1193:1,4144:1,1192:1
3473:1,rater_8,rater_8,rater_10,3498:1,3547:1,2656:1,4217:2,8366:2,7595:2
3650:1,rater_7,rater_7,rater_19,6379:1,8604:1,418:2,7384:1,3412:1,7358:1
3718:2,rater_2,rater_2,rater_8,3456:2,6574:2,6566:2,268:1,8784:1,1350:1
3800:1,rater_8,rater_8,rater_13,3458:1,3474:1,3889:1,6902:1,757:2,6872:1
3872:2,rater_11,rater_11,rater_10,4830:2,4800:2,5603:2,3506:1,4515:1,4282:2
4224:2,rater_10,rater_10,rater_19,4540:1,4255:2,6679:1,6082:1,6105:1,6136:1
422:2,rater_18,rater_18,rater_27,1577:1,3137:1,7185:1,1749:2,7971:2,4655:2
4279:2,rater_10,rater_10,rater_21,4552:1,4548:1,5356:2,6376:2,6343:1,5935:1
4283:1,rater_23,rater_23,rater_18,7686:1,7631:1,4701:1,6433:1,5663:1,713:1
4387:2,rater_13,rater_13,rater_16,3371:2,530:2,5717:2,906:2,438:2,4054:2
4430:2,rater_2,rater_2,rater_9,33:2,3541:2,2787:2,5143:1,4776:1,2535:1
4565:1,rater_10,rater_10,rater_5,4537:1,3985:2,2212:1,167:2,8330:2,6615:2
4576:2,rater_11,rater_11,rater_10,3804:2,5265:2,5213:2,3977:2,2200:1,1390:2
4701:1,rater_23,rater_23,rater_11,1470:2,4300:1,790:1,3813:2,8149:2,8871:2
4718:2,rater_10,rater_10,rater_11,4688:2,3960:2,7574:2,4467:2,3879:2,739:2
475:2,rater_7,rater_7,rater_15,904:2,7849:2,2707:1,1887:1,1505:2,433:1
4825:2,rater_11,rater_11,rater_19,6004:2,3800:2,3825:2,6050:1,7315:1,7411:1
4848:1,rater_10,rater_10,rater_15,4248:2,821:1,353:2,5273:1,4437:1,7295:2
4869:1,rater_18,rater_18,rater_13,7093:1,4917:1,4216:2,3235:1,3248:1,4480:2
5213:2,rater_11,rater_11,rater_9,1137:2,5962:2,4639:2,259:2,2554:1,2540:1
5293:1,rater_7,rater_7,rater_18,8446:1,8361:1,8402:1,548:1,3106:1,5747:1
5374:1,rater_15,rater_15,rater_4,7308:2,6957:1,1946:1,1831:2,2653:1,8668:2
542:2,rater_7,rater_7,rater_5,1624:1,6240:1,8716:1,163:2,187:2,7896:1
5498:1,rater_1,rater_1,rater_4,3586:2,6539:1,3653:2,3139:1,2159:1,225:2
5577:2,rater_2,rater_2,rater_13,6430:1,2287:2,6606:2,4328:2,6743:2,6795:2
5680:1,rater_18,rater_18,rater_23,5743:1,572:1,7200:1,7610:1,1311:1,1632:2
