condition,rater_id,n,accuracy,mae
correct_rater_history,rater_1,4,1.0,0.0
correct_rater_history,rater_10,9,0.2222222222222222,1.0
correct_rater_history,rater_11,9,0.4444444444444444,0.6666666666666666
correct_rater_history,rater_12,7,0.5714285714285714,0.42857142857142855
correct_rater_history,rater_13,7,0.42857142857142855,0.5714285714285714
correct_rater_history,rater_15,6,0.3333333333333333,0.6666666666666666
correct_rater_history,rater_18,7,0.5714285714285714,0.42857142857142855
correct_rater_history,rater_19,3,0.3333333333333333,0.6666666666666666
correct_rater_history,rater_2,10,0.7,0.3
correct_rater_history,rater_21,4,0.5,0.5
correct_rater_history,rater_22,2,1.0,0.0
correct_rater_history,rater_23,5,0.6,0.4
correct_rater_history,rater_24,1,0.0,1.0
correct_rater_history,rater_27,2,1.0,0.0
correct_rater_history,rater_3,2,1.0,0.0
correct_rater_history,rater_4,3,0.6666666666666666,0.6666666666666666
correct_rater_history,rater_5,1,1.0,0.0
correct_rater_history,rater_6,4,0.5,0.75
correct_rater_history,rater_7,10,0.6,0.6
correct_rater_history,rater_8,2,0.0,1.0
correct_rater_history,rater_9,2,0.0,1.0
wrong_rater_history,rater_1,4,1.0,0.0
wrong_rater_history,rater_10,9,0.4444444444444444,0.7777777777777778
wrong_rater_history,rater_11,9,0.5555555555555556,0.4444444444444444
wrong_rater_history,rater_12,7,0.7142857142857143,0.2857142857142857
wrong_rater_history,rater_13,7,0.7142857142857143,0.2857142857142857
wrong_rater_history,rater_15,6,0.16666666666666666,0.8333333333333334
wrong_rater_history,rater_18,7,0.5714285714285714,0.42857142857142855
wrong_rater_history,rater_19,3,0.3333333333333333,0.6666666666666666
wrong_rater_history,rater_2,10,0.4,0.6
wrong_rater_history,rater_21,4,0.5,0.5
wrong_rater_history,rater_22,2,0.5,0.5
wrong_rater_history,rater_23,5,0.6,0.4
wrong_rater_history,rater_24,1,0.0,1.0
wrong_rater_history,rater_27,2,1.0,0.0
wrong_rater_history,rater_3,2,0.5,0.5
wrong_rater_history,rater_4,3,0.3333333333333333,0.6666666666666666
wrong_rater_history,rater_5,1,0.0,1.0
wrong_rater_history,rater_6,4,0.75,0.5
wrong_rater_history,rater_7,10,0.3,0.7
wrong_rater_history,rater_8,2,0.5,0.5
wrong_rater_history,rater_9,2,0.5,1.0
