rater_id,history_order,history_id,source_row_id
rater_5,1,7900:1,7900
rater_5,2,5552:2,5552
rater_5,3,117:1,117
rater_5,4,7916:1,7916
rater_5,5,5599:2,5599
rater_5,6,5697:2,5697
rater_5,7,166:2,166
rater_5,8,180:2,180
rater_5,9,181:2,181
rater_5,10,5548:2,5548
rater_13,1,4344:2,4344
rater_13,2,5737:2,5737
rater_13,3,6867:1,6867
rater_13,4,7145:2,7145
rater_13,5,4427:2,4427
rater_13,6,4505:2,4505
rater_13,7,6893:1,6893
rater_13,8,5625:2,5625
rater_13,9,6884:1,6884
rater_13,10,3245:1,3245
rater_3,1,8275:2,8275
rater_3,2,83:2,83
rater_3,3,85:2,85
rater_3,4,1186:1,1186
rater_3,5,6310:2,6310
rater_3,6,7772:1,7772
rater_3,7,8255:2,8255
rater_3,8,4968:1,4968
rater_3,9,5798:1,5798
rater_3,10,5894:1,5894
rater_27,1,7923:2,7923
rater_27,2,5094:2,5094
rater_27,3,5039:2,5039
rater_27,4,8003:2,8003
rater_27,5,6860:2,6860
rater_27,6,6904:2,6904
rater_27,7,7988:2,7988
rater_27,8,4635:2,4635
rater_27,9,7238:2,7238
rater_27,10,4176:2,4176
rater_12,1,7269:2,7269
rater_12,2,3390:1,3390
rater_12,3,5787:2,5787
rater_12,4,6778:1,6778
rater_12,5,5828:2,5828
rater_12,6,2912:1,2912
rater_12,7,1201:2,1201
rater_12,8,3045:2,3045
rater_12,9,6824:1,6824
rater_12,10,6929:2,6929
rater_4,1,8652:2,8652
rater_4,2,1696:2,1696
rater_4,3,8687:2,8687
rater_4,4,1084:2,1084
rater_4,5,72:1,72
rater_4,6,2539:1,2539
rater_4,7,5894:2,5894
rater_4,8,224:2,224
rater_4,9,1156:2,1156
rater_4,10,2117:2,2117
rater_24,1,4594:1,4594
rater_24,2,1605:2,1605
rater_24,3,6838:2,6838
rater_24,4,6840:2,6840
rater_24,5,1930:2,1930
rater_24,6,1959:2,1959
rater_24,7,663:2,663
rater_24,8,1924:2,1924
rater_24,9,7710:1,7710
rater_24,10,4613:1,4613
rater_6,1,5508:1,5508
rater_6,2,8321:1,8321
rater_6,3,8216:1,8216
rater_6,4,5567:1,5567
rater_6,5,8138:1,8138
rater_6,6,5175:1,5175
rater_6,7,5565:1,5565
rater_6,8,6172:1,6172
rater_6,9,8149:1,8149
rater_6,10,3732:1,3732
rater_7,1,8546:1,8546
rater_7,2,8552:1,8552
rater_7,3,8677:1,8677
rater_7,4,8703:1,8703
rater_7,5,6277:1,6277
rater_7,6,8421:1,8421
rater_7,7,3214:1,3214
rater_7,8,8392:1,8392
rater_7,9,241:1,241
rater_7,10,8654:1,8654
rater_22,1,2062:2,2062
rater_22,2,2007:2,2007
rater_22,3,2060:2,2060
rater_22,4,2044:2,2044
rater_22,5,679:2,679
rater_22,6,2022:2,2022
rater_22,7,6819:2,6819
rater_22,8,2908:2,2908
rater_22,9,2063:2,2063
rater_22,10,718:2,718
rater_2,1,8532:2,8532
rater_2,2,3517:2,3517
rater_2,3,2276:2,2276
rater_2,4,2309:2,2309
rater_2,5,8466:2,8466
rater_2,6,6252:2,6252
rater_2,7,8215:2,8215
rater_2,8,2119:2,2119
rater_2,9,6250:2,6250
rater_2,10,8483:2,8483
rater_11,1,6660:2,6660
rater_11,2,283:2,283
rater_11,3,1356:2,1356
rater_11,4,4837:2,4837
rater_11,5,5604:2,5604
rater_11,6,2611:2,2611
rater_11,7,2597:2,2597
rater_11,8,6655:2,6655
rater_11,9,4786:2,4786
rater_11,10,6634:2,6634
rater_19,1,7475:1,7475
rater_19,2,7319:1,7319
rater_19,3,7318:1,7318
rater_19,4,4970:1,4970
rater_19,5,4084:1,4084
rater_19,6,3164:1,3164
rater_19,7,7298:1,7298
rater_19,8,6137:1,6137
rater_19,9,7441:1,7441
rater_19,10,4029:1,4029
rater_9,1,1132:1,1132
rater_9,2,800:2,800
rater_9,3,5379:1,5379
rater_9,4,8856:1,8856
rater_9,5,4558:1,4558
rater_9,6,5487:1,5487
rater_9,7,245:2,245
rater_9,8,3545:2,3545
rater_9,9,8844:1,8844
rater_9,10,4808:1,4808
rater_15,1,6331:2,6331
rater_15,2,675:2,675
rater_15,3,1601:2,1601
rater_15,4,4434:1,4434
rater_15,5,1907:1,1907
rater_15,6,7297:2,7297
rater_15,7,7182:2,7182
rater_15,8,2982:1,2982
rater_15,9,7021:1,7021
rater_15,10,4394:1,4394
rater_18,1,5763:1,5763
rater_18,2,4151:2,4151
rater_18,3,2002:1,2002
rater_18,4,1540:1,1540
rater_18,5,1521:1,1521
rater_18,6,6489:1,6489
rater_18,7,5747:1,5747
rater_18,8,7163:1,7163
rater_18,9,2066:1,2066
rater_18,10,5799:1,5799
rater_23,1,7627:1,7627
rater_23,2,8631:2,8631
rater_23,3,3253:1,3253
rater_23,4,3959:1,3959
rater_23,5,7678:1,7678
rater_23,6,3972:1,3972
rater_23,7,3973:1,3973
rater_23,8,1164:2,1164
rater_23,9,2270:1,2270
rater_23,10,7669:1,7669
rater_1,1,7884:2,7884
rater_1,2,6550:1,6550
rater_1,3,8034:2,8034
rater_1,4,6572:1,6572
rater_1,5,4027:1,4027
rater_1,6,3754:2,3754
rater_1,7,3765:2,3765
rater_1,8,6577:1,6577
rater_1,9,3691:2,3691
rater_1,10,3637:1,3637
rater_8,1,4527:1,4527
rater_8,2,3453:1,3453
rater_8,3,3543:1,3543
rater_8,4,3470:1,3470
rater_8,5,3479:1,3479
rater_8,6,1369:1,1369
rater_8,7,3507:1,3507
rater_8,8,3815:1,3815
rater_8,9,3858:1,3858
rater_8,10,3867:1,3867
rater_10,1,3486:1,3486
rater_10,2,8365:2,8365
rater_10,3,3921:2,3921
rater_10,4,1328:2,1328
rater_10,5,2610:1,2610
rater_10,6,8382:2,8382
rater_10,7,4587:1,4587
rater_10,8,7558:2,7558
rater_10,9,282:1,282
rater_10,10,7566:2,7566
rater_21,1,5989:1,5989
rater_21,2,6018:1,6018
rater_21,3,1337:2,1337
rater_21,4,2069:2,2069
rater_21,5,6348:1,6348
rater_21,6,5969:1,5969
rater_21,7,7533:1,7533
rater_21,8,1837:2,1837
rater_21,9,8773:2,8773
rater_21,10,6363:2,6363
