rater_id,n,mean_overall,mean_cohesion,corr_cohesion_overall,mean_syntax,corr_syntax_overall,mean_vocabulary,corr_vocabulary_overall,mean_phraseology,corr_phraseology_overall,mean_grammar,corr_grammar_overall,mean_conventions,corr_conventions_overall
rater_5,10,3.4,3.2,0.6000991981489793,3.1,0.7581753965757456,3.3,0.8017837257372731,3.5,0.75955452531275,3.3,0.47043753614038497,3.2,0.6000991981489793
rater_13,10,3.3,3.5,0.8716936997543174,3.7,0.7073170731707319,3.4,0.894675057761221,3.6,0.5179697702828123,3.2,0.967375391265025,3.5,0.8148353450645077
rater_3,10,2.6,2.7,0.5466081666101212,2.5,0.9490707529566206,3.2,0.8017837257372732,2.6,0.9070371250141009,2.7,0.7682212795973759,2.8,0.25000000000000006
rater_27,10,3.4,3.4,0.5833333333333334,3.6,0.6666666666666669,2.8,-0.05455447255899815,3.1,0.34619385792633245,3.9,0.408248290463863,3.9,0.408248290463863
rater_12,10,2.6,2.9,0.8744982510052467,2.4,0.678400525299968,3.1,0.7857142857142857,3.1,0.7857142857142857,2.3,0.6246950475544242,2.9,0.7263719977186395
rater_4,10,3.1,2.7,0.21821789023599242,2.9,0.523809523809524,3.1,1.0,3.0,0.74535599249993,2.9,0.523809523809524,3.1,0.7624437362098716
rater_24,10,3.1,3.2,0.6799112396040884,3.2,0.49466567733630135,3.3,0.2814245560747188,2.9,0.8070303256584301,3.3,0.7735972813615418,3.2,0.6713319906706947
rater_6,10,3.3,3.6,0.7619047619047619,3.1,0.2836543144655878,3.4,0.5921565254637919,3.0,0.563436169819011,3.0,0.563436169819011,3.5,0.40599897147057507
rater_7,10,3.1,2.7,0.624220973781523,2.8,0.7453313603681132,3.2,0.7356619480934562,2.5,0.8545976121261312,3.2,0.6799112396040884,3.2,0.6692446603021128
rater_22,10,3.3,3.4,0.9456108576893003,2.9,0.6825396825396826,3.4,0.8040302522073697,3.1,0.6713319906706946,3.2,0.6533052580081486,3.2,0.6296296296296298
rater_2,10,3.2,3.1,0.7865682304133547,2.9,0.46861575512653564,3.3,0.6007514091861108,2.8,0.8411910241920602,3.4,0.888985968748427,2.9,0.8561706738324667
rater_11,10,2.9,2.8,0.7721873425053444,2.8,0.7624437362098716,2.9,0.670721181477857,2.7,0.7244499638066088,2.6,0.8427009716003843,2.9,1.0
rater_19,10,3.1,3.1,0.5040302036234264,3.5,0.5570860145311555,3.3,0.20300517669800958,3.0,0.41522739926869984,3.4,0.7278602642426104,3.3,0.64194799639339
rater_9,10,2.9,3.0,0.0,2.7,0.2836543144655878,3.2,0.6808829066491905,3.0,0.7191949522280763,2.7,0.7830199672637511,2.8,0.5570860145311556
rater_15,10,3.5,3.9,0.8427009716003843,3.4,0.408248290463863,3.4,0.6030226891555271,3.7,0.7808688094430304,3.4,0.4364357804719847,3.5,0.44721359549995787
rater_18,10,3.0,3.1,0.8808303292720551,3.0,0.7071067811865476,3.1,0.5872202195147036,2.7,0.4938647983247948,3.0,0.6123724356957946,3.2,0.6338656910463875
rater_23,10,3.5,3.5,0.7867957924694432,3.3,0.7146459189048197,3.7,0.8734561231058906,3.6,0.8513824469684096,3.4,0.775217091182553,3.3,0.8716936997543172
rater_1,10,2.7,3.0,0.7682212795973757,2.7,0.649747431983581,2.8,0.725542319619744,2.8,0.9239209796193592,3.1,0.8550285741364412,2.9,0.8785882539782273
rater_8,10,2.7,2.9,0.8849846507021013,3.0,0.7407971974871923,2.9,0.8849846507021013,2.7,0.7156780854205467,3.1,0.7362477346177143,2.6,0.5738190417570045
rater_10,10,2.9,3.1,0.7391304347826085,2.7,0.8962057951940596,2.9,0.670721181477857,3.2,0.2407717061715385,2.6,0.7791170716723113,2.9,0.9109390021891406
rater_21,10,3.0,2.9,0.5872202195147035,3.2,0.7254762501100117,3.6,0.7150969419341943,3.3,0.7027283689263065,2.8,0.7905694150420949,3.0,0.408248290463863
