target_id,gold,wrong_prediction,correct_prediction,wrong_error,correct_error,wrong_rater,target_rater
156:2,3,2,3,1,0,rater_25,rater_3
1881:2,2,2,3,0,1,rater_7,rater_24
1989:1,2,2,3,0,1,rater_16,rater_6
2016:1,3,2,3,1,0,rater_8,rater_7
2042:2,4,3,4,1,0,rater_27,rater_22
2354:2,3,2,3,1,0,rater_26,rater_2
2387:1,3,2,3,1,0,rater_16,rater_7
242:1,4,3,2,1,2,rater_19,rater_7
2781:2,4,3,4,1,0,rater_15,rater_2
3346:1,3,4,3,1,0,rater_18,rater_23
3473:1,2,2,3,0,1,rater_10,rater_8
4283:1,3,3,4,0,1,rater_18,rater_23
4718:2,5,3,4,2,1,rater_11,rater_10
4869:1,3,3,2,0,1,rater_13,rater_18
5213:2,3,3,2,0,1,rater_9,rater_11
5577:2,2,3,2,1,0,rater_13,rater_2
5846:2,3,3,4,0,1,rater_9,rater_13
6362:1,3,4,3,1,0,rater_13,rater_21
8415:1,5,4,3,1,2,rater_5,rater_7
8443:2,3,2,3,1,0,rater_9,rater_2
8656:1,3,2,3,1,0,rater_8,rater_7
8656:2,4,3,2,1,2,rater_15,rater_4
